"PERMNO","Company Name","Ticker","SP500 Start","SP500 End"
"46578","CLOROX CO","CLX","Jan. 16, 1969","Dec. 31, 2024"
"46674","GENUINE PARTS CO","GPC","Nov. 15, 1973","Dec. 31, 2024"
"46703","HOST HOTELS & RESORTS INC","HST","March 20, 2007","Dec. 31, 2024"
"46877","BARD C R INC","BCR","June 12, 1975","Jan. 2, 2018"
"46886","K L A TENCOR CORP","KLAC","Sept. 15, 1997","Dec. 31, 2024"
"47466","NEW YORK TIMES CO","NYT","Nov. 23, 1984","Dec. 17, 2010"
"47896","JPMORGAN CHASE & CO","JPM","July 1, 1976","Dec. 31, 2024"
"47941","GANNETT CO INC","GCI","Dec. 11, 1975","June 1, 2017"
"48267","L S I CORP NEW","LSI","Dec. 13, 1995","May 7, 2014"
"48274","NICOR INC","GAS","Aug. 3, 1989","Dec. 12, 2011"
"48506","MOODYS CORP","MCO","Dec. 27, 1979","Dec. 31, 2024"
"48653","HUMANA INC","HUM","Dec. 1, 1995","Dec. 31, 2024"
"48725","UNION PACIFIC CORP","UNP","July 16, 1969","Dec. 31, 2024"
"49015","LINCOLN NATIONAL CORP","LNC","July 1, 1976","Sept. 15, 2023"
"49154","TARGET CORP","TGT","Dec. 9, 1976","Dec. 31, 2024"
"49373","BLOCK H & R INC","HRB","Nov. 28, 1986","Sept. 18, 2020"
"49656","BANK OF NEW YORK MELLON CORP","BK","March 31, 1995","Dec. 31, 2024"
"49680","DANAHER CORP","DHR","Nov. 18, 1998","Dec. 31, 2024"
"50017","RANGE RESOURCES CORP","RRC","Dec. 21, 2007","June 15, 2018"
"50227","BURLINGTON NORTHERN SANTA FE CP","BNI","March 5, 1970","Feb. 12, 2010"
"50876","LILLY ELI & CO","LLY","Nov. 19, 1970","Dec. 31, 2024"
"51369","TERADYNE INC","TER","Nov. 15, 1999","Dec. 20, 2013"
"51377","NATIONAL SEMICONDUCTOR CORP","NSM","Dec. 9, 1976","Sept. 23, 2011"
"51706","MARSHALL & ILSLEY CORP NEW","MI","Feb. 11, 2002","July 5, 2011"
"52038","SYSCO CORP","SYY","Dec. 18, 1986","Dec. 31, 2024"
"52090","MCCORMICK & CO INC","MKC","March 21, 2003","Dec. 31, 2024"
"52230","ROBERT HALF INTERNATIONAL INC","RHI","Dec. 5, 2000","June 21, 2024"
"52329","JACOBS ENGINEERING GROUP INC","JEC","Oct. 26, 2007","Dec. 31, 2024"
"52337","TENET HEALTHCARE CORP","THC","Feb. 8, 1979","April 15, 2016"
"52476","EQUIFAX INC","EFX","June 19, 1997","Dec. 31, 2024"
"52695","GRAINGER W W INC","GWW","May 14, 1981","Dec. 31, 2024"
"52708","LENNAR CORP","LEN","Oct. 4, 2005","Dec. 31, 2024"
"52978","HASBRO INC","HAS","Sept. 13, 1984","Dec. 31, 2024"
"53065","INTERPUBLIC GROUP COS INC","IPG","Oct. 30, 1992","Dec. 31, 2024"
"53225","WASHINGTON POST CO","WPO","Dec. 31, 2007","Sept. 19, 2014"
"53613","MICRON TECHNOLOGY INC","MU","Sept. 27, 1994","Dec. 31, 2024"
"53866","FAMILY DOLLAR STORES INC","FDO","Aug. 6, 2001","July 8, 2015"
"54148","PULTE HOMES INC","PHM","April 12, 1984","Dec. 31, 2024"
"54181","MILLIPORE CORP","MIL","July 14, 1988","July 14, 2010"
"54827","MOLEX INC","MOLX","Dec. 1, 1999","Dec. 9, 2013"
"55976","WAL MART STORES INC","WMT","Aug. 19, 1982","Dec. 31, 2024"
"56274","CONAGRA INC","CAG","Sept. 1, 1983","Dec. 31, 2024"
"56573","ILLINOIS TOOL WORKS INC","ITW","Feb. 13, 1986","Dec. 31, 2024"
"57568","BALL CORP","BLL","Oct. 4, 1984","Dec. 31, 2024"
"57665","NIKE INC","NKE","Nov. 3, 1988","Dec. 31, 2024"
"57817","NORDSTROM INC","JWN","Aug. 7, 1986","June 19, 2020"
"57904","AFLAC INC","AFL","May 28, 1999","Dec. 31, 2024"
"58246","NORTHERN TRUST CORP","NTRS","Jan. 30, 1998","Dec. 31, 2024"
"58683","SOUTHWEST AIRLINES CO","LUV","July 13, 1994","Dec. 31, 2024"
"59010","GAP INC","GPS","Aug. 21, 1986","Feb. 2, 2022"
"59176","AMERICAN EXPRESS CO","AXP","July 1, 1976","Dec. 31, 2024"
"59192","CHUBB CORP","CB","July 1, 1976","Jan. 15, 2016"
"59248","MOLSON COORS BREWING CO","TAP","July 1, 1976","Dec. 31, 2024"
"59328","INTEL CORP","INTC","Dec. 9, 1976","Dec. 31, 2024"
"59408","BANK OF AMERICA CORP","BAC","July 1, 1976","Dec. 31, 2024"
"59459","TRAVELERS COMPANIES INC","TRV","July 1, 1976","Dec. 31, 2024"
"60097","MEDTRONIC INC","MDT","Oct. 23, 1986","Dec. 31, 2024"
"60206","SNAP ON INC","SNA","Sept. 16, 1982","Dec. 31, 2024"
"60442","P N C FINANCIAL SERVICES GRP INC","PNC","April 14, 1988","Dec. 31, 2024"
"60506","PACCAR INC","PCAR","Oct. 2, 1980","Dec. 31, 2024"
"60599","CENTURYTEL INC","CTL","March 25, 1999","March 17, 2023"
"60628","FEDEX CORP","FDX","Nov. 6, 1980","Dec. 31, 2024"
"60871","ANALOG DEVICES INC","ADI","Oct. 12, 1999","Dec. 31, 2024"
"60943","LEGGETT & PLATT INC","LEG","Oct. 18, 1999","Dec. 17, 2021"
"60986","NEWELL RUBBERMAID INC","NWL","April 27, 1989","Sept. 15, 2023"
"61241","ADVANCED MICRO DEVICES INC","AMD","June 21, 1984","Sept. 20, 2013"
"61399","LOWES COMPANIES INC","LOW","March 1, 1984","Dec. 31, 2024"
"61621","PAYCHEX INC","PAYX","Oct. 1, 1998","Dec. 31, 2024"
"61735","AON CORP","AON","April 23, 1996","Dec. 31, 2024"
"61815","NOBLE ENERGY INC","NBL","Oct. 8, 2007","Oct. 9, 2020"
"62092","THERMO FISHER SCIENTIFIC INC","TMO","Jan. 2, 1997","Dec. 31, 2024"
"62148","C S X CORP","CSX","Nov. 6, 1980","Dec. 31, 2024"
